CHAN_SEQ,PU_GAP,AREAKM,SINUOUS,URBWT,AGWT,WATWT,WETWT,DARWT,DARRT
71063,badri100,19.485,1.567,0.401847575,0,0.027713626,29.62124711,-26.9331,391.7094
71924,badri1000,15.1182,1.477,2.494344565,0,3.631384689,46.04714847,-74.7077,58.6087
71925,badri1002,5.9616,2.289,1.373792271,0,0,37.68115942,-125.7717,82.6422
71926,badri1003,5.2758,1.125,3.343568748,0,0,46.6905493,-91.1368,66.8966
71927,badri1004,20.5614,1.036,2.735708658,0,2.67005165,46.56394993,-78.2356,60.8958
71929,badri1006,47.2572,1.162,0.535156548,0.114268302,1.502628171,32.76072218,-88.8801,109.6626
71930,badri1007,8.9811,1.302,0.19039984,0.601262652,2.515282092,15.36226075,-91.2619,183.1382
71931,badri1009,5.5872,1.737,0.596005155,0,0.241623711,27.41623711,-120.4597,126.6059
71064,badri101,1.7478,1.138,0,0,0,0,0,0
71932,badri1010,21.9231,1.075,1.617471982,0,0.151894577,33.59333306,-117.818,122.4988
71933,badri1011,4.2831,1.905,4.055473839,0,1.63899979,47.48896827,-59.6897,47.9745
71934,badri1012,16.4457,1.073,1.296995567,0,0.142286434,34.62485635,-121.8664,121.9961
71935,badri1013,35.0757,1.082,0.672260283,0,1.347086444,37.53880892,-77.0769,104.606
71936,badri1014,3.2994,1.472,1.172940535,0,0.245499182,9.27441353,-294.6874,-0.4273
71937,badri1015,7.1172,1.224,0.746079919,0,0.139099646,38.83409206,-103.5885,136.8706
71938,badri1016,28.9485,1.597,3.827141303,0.242499611,9.743510026,28.86988963,-43.4743,180.8013
71939,badri1018,6.9678,1.104,3.035391372,0,0.503745802,40.37716352,-74.4991,66.547
71940,badri1019,10.0872,1.492,1.454318344,0,1.017130621,36.09921485,-127.4459,135.6289
71065,badri102,1.044,1.12,1.206896552,0,0.862068966,0,0.0034,0.0103
71941,badri1021,7.2252,1.251,6.452416542,0,1.083707025,35.25161933,-100.2471,120.9089
71942,badri1022,87.5898,1.167,3.173999712,0.157210086,1.362487413,43.07556359,-109.4889,116.5048
71943,badri1023,138.9438,1.334,4.003705095,0.272700185,2.988042647,38.49218173,-105.1856,137.0784
71944,badri1024,45.2916,1.237,2.354741277,0,1.31150147,39.28344329,-103.4555,95.2765
71945,badri1025,118.7496,1.644,3.335505972,0.175074274,3.402958831,39.66303886,-93.7297,135.3555
71946,badri1027,13.3209,1.213,0.763461928,0,1.432335653,21.07965678,-189.7373,-76.4446
71947,badri1028,12.7008,1.216,1.502267574,0,0.233843537,40.78089569,-52.2175,66.1073
71948,badri1029,13.9986,1.074,0.128584287,0,2.365950881,36.53722515,-80.6153,89.2758
71949,badri1030,3.6081,1.114,1.571464206,0,0.274382639,33.49962584,-92.4949,133.5469
71951,badri1032,7.1109,1.257,0.670801164,0,0.847993925,13.63118593,-258.6018,40.3856
71952,badri1033,9.1908,1.108,0,0,2.849588719,33.0297689,-79.2882,95.5708
71953,badri1034,4.1562,1.182,2.944997835,0,1.992204417,39.86574275,-74.3338,98.9864
71954,badri1035,19.8873,1.223,1.09517129,0,0.665248676,38.16807711,-71.9783,120.6666
71955,badri1036,51.0516,1.234,2.595021508,0,1.325717509,39.57936676,-101.4683,95.8462
71957,badri1038,80.0991,1.181,2.885425679,0.171912044,1.392150474,43.75105338,-110.0533,116.865
71958,badri1039,57.0105,1.274,2.637935117,0,1.251874655,40.43728787,-107.4511,102.7655
71067,badri104,16.3467,1.076,1.866431757,0,0.071574079,1.024059902,-103.4052,26.9217
71959,badri1040,11.2293,1.128,1.338462771,0,0.841548449,45.49971948,-51.5152,120.9982
71960,badri1041,6.9012,1.12,1.330203443,0,0.912884716,44.10537298,-52.4406,119.0861
71961,badri1042,6.5889,1.167,0,0,1.297636935,34.02540637,-62.7473,57.7523
71962,badri1043,13.5828,1.985,1.371587596,0,1.881791678,32.89822422,-105.2818,88.1307
71963,badri1044,7.7625,1.196,8.046376812,0,0,32.45217391,-183.8357,143.789
71964,badri1045,3.0924,1.289,1.833527357,0,0.407450524,47.17694994,-67.5013,95.5
71965,badri1046,2.1015,1.209,2.78372591,0,1.498929336,27.88008565,-112.0009,177.8875
71966,badri1047,4.851,1.135,2.133580705,0,0.760667904,46.90166976,-183.9106,191.0574
71969,badri1050,21.3948,1.629,3.016153458,0.517415447,1.67003197,52.6249369,-111.6578,147.9992
71970,badri1051,3.2094,1.352,4.206393718,0,9.702748177,39.56814358,-42.1932,159.2847
71971,badri1052,8.6472,1.07,1.217735221,0,0.457951707,50.94712739,-62.3051,79.5993
71068,badri107,4.9518,1.029,2.39912759,0,0,0.436205016,-4.9509,12.7228
71070,badri111,9.5121,1.053,1.958558047,0,0.075693065,0.416311855,-175.1445,38.6172
71071,badri112,44.3808,1.457,2.467959117,3.690785204,0.012167424,28.40890655,-53.7805,212.6559
71073,badri114,46.1106,1.485,2.537377523,3.919272358,0.011710973,27.99703322,-55.9046,217.3844
71074,badri115,8.8785,1.534,1.196147998,0,0.689305626,18.52002027,-53.1547,327.7243
71075,badri116,6.3693,1.208,1.102161933,0,0.169563374,1.455418963,0,0
71077,badri122,854.6337,1.72,2.680727427,6.304806375,3.079529862,7.608522809,0.0001,-0.0001
71079,badri126,1.0206,1.079,0,0,0,0,0,-0.0099
71082,badri136,14.1903,1.132,2.765269233,0,0,16.87067927,104.5166,306.5333
71036,badri14,48.0024,1.058,3.729188541,0.223113844,0.573721314,11.94502775,4.2621,1.4408
71083,badri142,3.5514,1.199,2.078053725,0,0,0,11.5988,9.2863
71084,badri143,2.8584,1.418,2.078085642,0,0,8.784634761,0,0
71085,badri144,6.2559,1.244,2.229894979,0,0.158250611,0,5.574,8.0159
71086,badri145,2.2653,1.219,2.542709575,0,0,11.83949146,0,0
71087,badri146,67.0041,1.425,2.077932544,2.714610001,0.110142514,26.38987763,-77.338,236.3897
71088,badri147,70.2252,1.477,1.982621623,2.590095863,0.208899369,26.57635721,-77.2458,224.7392
71089,badri148,1612.2951,1.896,3.06451964,5.850715542,1.281818694,14.20645637,-27.4087,24.5349
71090,badri149,1.0818,1.109,4.159733777,0,0,0,-60.9526,24.9538
71091,badri150,2.5146,1.32,1.03793844,0,0.858983536,14.49534717,0,0
71092,badri151,13.3722,1.092,5.552564275,17.29034863,0.094225333,0.881679903,3.935,0.7715
71093,badri152,3.8142,1.432,0.637092968,0,0.424728646,3.421425201,0,0
71094,badri153,2.2482,1.178,6.285028022,0,0.680544436,1.561248999,0,0
71095,badri154,7.7796,1.374,3.667283665,0,0,0,0.6891,0.7
71096,badri155,18.1818,1.364,4.019404019,7.019107019,0,28.42787843,-40.59,96.0762
71097,badri156,2.8413,1.174,1.963889769,2.470700032,0,3.135888502,1.3472,0.328
71098,badri157,2.4669,1.136,0,0,0.182415177,0,0,0
71099,badri158,2.5722,1.053,8.747375787,0,0,0,0.4227,0.7108
71100,badri159,0.7866,1.111,1.258581236,0,0,0,-87.2357,29.6136
71101,badri160,7.9785,1.418,0.157924422,0.383530739,0.32712916,7.005076142,-0.0003,0
